U.S_Area,production_above_average,hours_worked_above_average,capital_cost_above_average
alabama,below,above,above
alasca,below,below,below
arizona,below,below,below
arkansas,below,below,below
california,above,above,above
colorado,below,below,below
connecticut,below,below,below
delaware,below,below,below
columbia disctr.,below,below,below
floria,above,above,above
georgia,above,above,above
havai,below,below,below
idaho,below,below,below
illinois,above,above,above
indiana,above,above,above
iowa,below,below,below
kansas,below,below,below
kentucky,below,above,below
louisiana,above,below,above
maine,below,below,below
maryland,below,below,below
massachusetts,above,below,above
michigan,above,above,above
minnesota,above,above,above
mississipi,below,below,below
missouri,above,above,below
montana,below,below,below
nebraska,below,below,below
nevada,below,below,below
nova hampshire,below,below,below
nova jersey,above,above,above
novo mexico,below,below,below
nova york,above,above,above
carolina do norte,above,above,above
dakota do norte,below,below,below
ohio,above,above,above
oklahoma,below,below,below
oregon,below,below,below
pensilvania,above,above,above
rhoda island,below,below,below
carolina do sul,below,above,below
dakota do sul,below,below,below
tennessee,above,above,above
texas,above,above,above
utah,below,below,below
vermont,below,below,below
virginia,above,above,above
washington,above,below,below
oeste de virgina,below,below,below
wisconsin,above,above,above
wyoming,below,below,below
